Date,Open,High,Low,Close,Adj Close,Volume
18-10-16,822.109985,823.26001,815.02002,817.650024,817.650024,2480800
19-10-16,820.400024,820.669983,815.169983,817.690002,817.690002,2090700
20-10-16,813.98999,815.710022,803.099976,810.320007,810.320007,3152000
21-10-16,809.359985,819.419983,809,818.98999,818.98999,2793000
24-10-16,824.950012,838.299988,822.210022,838.090027,838.090027,4060900
25-10-16,839.299988,843.090027,833.219971,835.179993,835.179993,3248400
26-10-16,832.76001,833.440002,820,822.590027,822.590027,3998100
27-10-16,831.23999,831.719971,815.429993,818.359985,818.359985,7406400
28-10-16,782,789.48999,774.609985,776.320007,776.320007,10841100
31-10-16,781.030029,793.700012,780.109985,789.820007,789.820007,5413300
01-11-16,799,800.840027,776.710022,785.409973,785.409973,5305400
02-11-16,783.929993,784.75,763.549988,765.559998,765.559998,5026500
03-11-16,765.049988,777,764,767.030029,767.030029,3872500
04-11-16,762.789978,766,753.22998,755.049988,755.049988,5122100
07-11-16,771.640015,787.72998,770.940002,784.929993,784.929993,5984400
08-11-16,784.969971,791.73999,779.099976,787.75,787.75,3373300
09-11-16,764,777.5,760.090027,771.880005,771.880005,8562900
10-11-16,778.809998,778.830017,717.700012,742.380005,742.380005,12747000
11-11-16,735.72998,743.26001,728.900024,739.01001,739.01001,6622800
14-11-16,745.51001,746,710.099976,719.070007,719.070007,7283200
15-11-16,730,746.780029,725.98999,743.23999,743.23999,6755800
16-11-16,739.880005,749.869995,735.609985,746.48999,746.48999,3601400
17-11-16,749.320007,757.5,748,756.400024,756.400024,3690100
18-11-16,761,767.73999,757.640015,760.159973,760.159973,4373400
21-11-16,766,780.349976,765.109985,780,780,4614600
22-11-16,788.169983,792.400024,781,785.330017,785.330017,5311300
23-11-16,781.72998,781.75,773.119995,780.119995,780.119995,3522500
25-11-16,786.5,786.75,777.900024,780.369995,780.369995,1837100
28-11-16,776.98999,777,764.23999,766.77002,766.77002,4438800
29-11-16,768,769.890015,761.320007,762.52002,762.52002,3272300
30-11-16,762,768.090027,750.25,750.570007,750.570007,4625900
01-12-16,752.409973,753.369995,738.030029,743.650024,743.650024,4666000
02-12-16,743.400024,748.48999,736.700012,740.340027,740.340027,3561300
05-12-16,745,761.48999,742,759.359985,759.359985,4314700
06-12-16,763.98999,768.23999,757.25,764.719971,764.719971,3794700
07-12-16,764.549988,770.419983,755.820007,770.419983,770.419983,3684900
08-12-16,771.869995,773.789978,765.190002,767.330017,767.330017,3189600
09-12-16,770,770.25,765.340027,768.659973,768.659973,2470900
12-12-16,766.400024,766.890015,757.200012,760.119995,760.119995,2963900
13-12-16,764.960022,782.460022,762,774.340027,774.340027,5285300
14-12-16,778.25,780.859985,762.809998,768.820007,768.820007,5454800
15-12-16,766.280029,769.099976,760.309998,761,761,3801900
16-12-16,765,765.130005,754,757.77002,757.77002,4828700
19-12-16,758.890015,770.5,756.159973,766,766,3113200
20-12-16,768.650024,774.390015,767.710022,771.219971,771.219971,2703600
21-12-16,770,771.219971,765.700012,770.599976,770.599976,2044600
22-12-16,768.119995,771.210022,763.02002,766.340027,766.340027,2543600
23-12-16,764.549988,766.5,757.98999,760.590027,760.590027,1976900
27-12-16,763.400024,774.650024,761.200012,771.400024,771.400024,2638700
28-12-16,776.25,780,770.5,772.130005,772.130005,3301000
29-12-16,772.400024,773.400024,760.849976,765.150024,765.150024,3153500
30-12-16,766.469971,767.400024,748.280029,749.869995,749.869995,4139400
03-01-17,757.919983,758.76001,747.700012,753.669983,753.669983,3521100
04-01-17,758.390015,759.679993,754.200012,757.179993,757.179993,2510500
05-01-17,761.549988,782.400024,760.26001,780.450012,780.450012,5830100
06-01-17,782.359985,799.440002,778.47998,795.98999,795.98999,5986200
09-01-17,798,801.77002,791.77002,796.919983,796.919983,3440100
10-01-17,796.599976,798,789.539978,795.900024,795.900024,2558400
11-01-17,793.659973,799.5,789.51001,799.02002,799.02002,2992800
12-01-17,800.309998,814.130005,799.5,813.640015,813.640015,4873900
13-01-17,814.320007,821.650024,811.400024,817.140015,817.140015,3791900
17-01-17,815.700012,816,803.440002,809.719971,809.719971,3659400
18-01-17,809.5,811.72998,804.27002,807.47998,807.47998,2354200
19-01-17,810,813.51001,807.320007,809.039978,809.039978,2540800
20-01-17,815.280029,816.02002,806.26001,808.330017,808.330017,3376200
23-01-17,806.799988,818.5,805.080017,817.880005,817.880005,2797500
24-01-17,822,823.98999,814.5,822.440002,822.440002,2971700
25-01-17,825.789978,837.419983,825.289978,836.52002,836.52002,3922600
26-01-17,835.530029,843.840027,833,839.150024,839.150024,3586300
27-01-17,839,839.700012,829.440002,835.77002,835.77002,2998700
30-01-17,833,833.5,816.380005,830.380005,830.380005,3747300
31-01-17,823.75,826.98999,819.559998,823.47998,823.47998,3137200
01-02-17,829.210022,833.780029,824.940002,832.349976,832.349976,3850200
02-02-17,836.590027,842.48999,828.26001,839.950012,839.950012,7350500
03-02-17,806.719971,818.299988,804,810.200012,810.200012,10868800
06-02-17,809.799988,810.719971,803,807.640015,807.640015,3897300
07-02-17,809.309998,816.159973,807.5,812.5,812.5,3466100
08-02-17,812.690002,821.47998,812.5,819.710022,819.710022,2858000
09-02-17,821.599976,825,819.710022,821.359985,821.359985,2484900
10-02-17,823.820007,828,822.849976,827.460022,827.460022,2429600
13-02-17,831.619995,843,828.549988,836.530029,836.530029,4172600
14-02-17,837,838.309998,831.450012,836.390015,836.390015,2787900
15-02-17,834,842.809998,832.820007,842.700012,842.700012,2968900
16-02-17,841.840027,845,839.380005,844.140015,844.140015,2714700
17-02-17,842,847.27002,840.72998,845.070007,845.070007,3112300
21-02-17,848.840027,857.97998,847.25,856.440002,856.440002,3507700
22-02-17,856.950012,858.429993,852.179993,855.609985,855.609985,2617000
23-02-17,857.570007,860.859985,848,852.190002,852.190002,3462000
24-02-17,844.690002,845.809998,837.75,845.23999,845.23999,3688000
27-02-17,842.380005,852.5,839.669983,848.640015,848.640015,2713600
28-02-17,851.450012,854.090027,842.049988,845.039978,845.039978,2793700
01-03-17,853.049988,854.830017,849.01001,853.080017,853.080017,2760100
02-03-17,853.080017,854.820007,847.280029,848.909973,848.909973,2132100
03-03-17,847.200012,851.98999,846.27002,849.880005,849.880005,1941100
06-03-17,845.22998,848.48999,841.119995,846.609985,846.609985,2610400
07-03-17,845.47998,848.460022,843.75,846.02002,846.02002,2247600
08-03-17,848,853.070007,846.789978,850.5,850.5,2286500
09-03-17,851,856.400024,850.309998,853,853,2048200
10-03-17,857,857.349976,851.719971,852.460022,852.460022,2436400
13-03-17,851.77002,855.690002,851.710022,854.590027,854.590027,1909700
14-03-17,853.549988,853.75,847.549988,852.530029,852.530029,2130600
15-03-17,854.330017,854.450012,847.109985,852.969971,852.969971,2562200
16-03-17,855.299988,855.5,850.51001,853.419983,853.419983,1842300
17-03-17,853.48999,853.830017,850.640015,852.309998,852.309998,3384400
20-03-17,851.51001,857.799988,851.01001,856.969971,856.969971,2282700
21-03-17,858.840027,862.799988,841.309998,843.200012,843.200012,4382900
22-03-17,840.429993,849.369995,839.049988,848.059998,848.059998,2658700
23-03-17,848.200012,850.890015,844.799988,847.380005,847.380005,1953000
24-03-17,851.679993,851.799988,843.530029,845.609985,845.609985,2138300
27-03-17,838.070007,850.299988,833.5,846.820007,846.820007,2755800
28-03-17,851.75,858.460022,850.099976,856,856,3041600
29-03-17,859.049988,876.440002,859.02002,874.320007,874.320007,4485800
30-03-17,874.950012,877.059998,871.659973,876.340027,876.340027,2762700
31-03-17,877,890.349976,876.650024,886.539978,886.539978,3957600
03-04-17,888,893.48999,885.419983,891.51001,891.51001,3422300
04-04-17,891.5,908.539978,890.280029,906.830017,906.830017,4984700
05-04-17,910.820007,923.719971,905.619995,909.280029,909.280029,7508400
06-04-17,913.799988,917.190002,894.48999,898.280029,898.280029,6344100
07-04-17,899.650024,900.090027,889.309998,894.880005,894.880005,3710900
10-04-17,899.630005,908.51001,899,907.039978,907.039978,3184300
11-04-17,907.039978,911.23999,897.5,902.359985,902.359985,3012700
12-04-17,903.090027,904.090027,895.25,896.22998,896.22998,2456100
13-04-17,891.450012,894.969971,884.48999,884.669983,884.669983,3174600
17-04-17,887.5,902.380005,887.5,901.98999,901.98999,2854700
18-04-17,900.98999,909.609985,900.780029,903.780029,903.780029,2999200
19-04-17,907.840027,910.5,897.369995,899.200012,899.200012,2870200
20-04-17,899.700012,905.320007,896.289978,902.059998,902.059998,2814400
21-04-17,902.669983,903.650024,896.77002,898.530029,898.530029,2420500
24-04-17,908.679993,909.98999,903.820007,907.409973,907.409973,3122900
25-04-17,907.039978,909.47998,903,907.619995,907.619995,3380600
26-04-17,910.299988,915.75,907.559998,909.289978,909.289978,2608900
27-04-17,914.390015,921.859985,912.109985,918.380005,918.380005,5305500
28-04-17,948.830017,949.590027,924.330017,924.98999,924.98999,7335800
01-05-17,927.799988,954.400024,927.799988,948.22998,948.22998,5466500
02-05-17,946.650024,950.099976,941.409973,946.940002,946.940002,3848800
03-05-17,946,946,935.900024,941.030029,941.030029,3582700
04-05-17,944.75,945,934.219971,937.530029,937.530029,2418400
05-05-17,940.52002,940.789978,930.299988,934.150024,934.150024,2866400
08-05-17,940.950012,949.049988,939.210022,949.039978,949.039978,3415700
09-05-17,952.799988,957.890015,950.200012,952.820007,952.820007,3262100
10-05-17,953.5,953.75,945,948.950012,948.950012,2096500
11-05-17,945.109985,950.289978,940.780029,947.619995,947.619995,2194100
12-05-17,954.5,962.789978,951.530029,961.349976,961.349976,3625900
15-05-17,958.72998,963.150024,956.059998,957.969971,957.969971,4270600
16-05-17,961,970.059998,960.909973,966.070007,966.070007,3126100
17-05-17,954.700012,960.400024,944.119995,944.76001,944.76001,5145600
18-05-17,944.799988,962.75,944.76001,958.48999,958.48999,3939300
19-05-17,962.840027,968.919983,959.719971,959.840027,959.840027,3972100
22-05-17,964,971.380005,962.900024,970.669983,970.669983,2642200
23-05-17,975.02002,975.200012,966.849976,971.539978,971.539978,2415600
24-05-17,976,981,970.22998,980.349976,980.349976,2446000
25-05-17,984.849976,999,982.109985,993.380005,993.380005,4822000
26-05-17,995,998.650024,989.25,995.780029,995.780029,3469200
30-05-17,996.51001,1001.200012,995.52002,996.700012,996.700012,3263100
31-05-17,1000,1000.119995,982.159973,994.619995,994.619995,3913100
01-06-17,998.590027,998.98999,991.369995,995.950012,995.950012,2454800
02-06-17,998.98999,1008.47998,995.669983,1006.72998,1006.72998,3752300
05-06-17,1007.22998,1013.210022,1003.51001,1011.340027,1011.340027,2719900
06-06-17,1012,1016.5,1001.25,1003,1003,3346400
07-06-17,1005.950012,1010.25,1002,1010.070007,1010.070007,2823000
08-06-17,1012.059998,1013.609985,1006.109985,1010.27002,1010.27002,2753300
09-06-17,1012.5,1012.98999,927,978.309998,978.309998,7647700
12-06-17,967,975.950012,945,964.909973,964.909973,9447200
13-06-17,977.98999,984.5,966.099976,980.789978,980.789978,4580000
14-06-17,988.590027,990.340027,966.710022,976.469971,976.469971,3974900
15-06-17,958.700012,965.72998,950.859985,964.169983,964.169983,5373900
16-06-17,996,999.75,982,987.710022,987.710022,11472700
19-06-17,1017,1017,989.900024,995.169983,995.169983,5043400
20-06-17,998,1004.880005,992.02002,992.590027,992.590027,4076800
21-06-17,998.700012,1002.719971,992.650024,1002.22998,1002.22998,2922500
22-06-17,1002.22998,1006.960022,997.200012,1001.299988,1001.299988,2253400
23-06-17,1002.539978,1004.619995,998.02002,1003.73999,1003.73999,2879100
26-06-17,1008.5,1009.799988,992,993.97998,993.97998,3386200
27-06-17,990.690002,998.799988,976,976.780029,976.780029,3782400
28-06-17,978.549988,990.679993,969.210022,990.330017,990.330017,3737600
29-06-17,979,987.559998,965.25,975.929993,975.929993,4303000
30-06-17,980.119995,983.469971,967.609985,968,968,3390300
03-07-17,972.789978,974.48999,951,953.659973,953.659973,2909100
05-07-17,961.530029,975,955.25,971.400024,971.400024,3653000
06-07-17,964.659973,974.400024,959.02002,965.140015,965.140015,3259600
07-07-17,969.549988,980.109985,969.140015,978.76001,978.76001,2643400
10-07-17,985,999.440002,983.5,996.469971,996.469971,3546300
11-07-17,993,995.98999,983.719971,994.130005,994.130005,2982700
12-07-17,1000.650024,1008.549988,998.099976,1006.51001,1006.51001,3608600
13-07-17,1004.619995,1006.880005,995.900024,1000.630005,1000.630005,2880800
14-07-17,1002.400024,1004.450012,996.890015,1001.809998,1001.809998,2102500
17-07-17,1004.690002,1014.75,1003.809998,1010.039978,1010.039978,3712600
18-07-17,1006,1026.030029,1004,1024.449951,1024.449951,4007600
19-07-17,1025,1031.589966,1022.5,1026.869995,1026.869995,2964000
20-07-17,1031.589966,1034.969971,1022.52002,1028.699951,1028.699951,3097500
21-07-17,1021.280029,1026.099976,1011,1025.670044,1025.670044,2734600
24-07-17,1028.339966,1043.01001,1027.430054,1038.949951,1038.949951,3288000
25-07-17,1038.050049,1043.329956,1032.47998,1039.869995,1039.869995,2447600
26-07-17,1043.199951,1053.199951,1043.199951,1052.800049,1052.800049,2921300
27-07-17,1069.550049,1083.310059,1040.180054,1046,1046,10991700
28-07-17,1012.140015,1032.849976,1001,1020.039978,1020.039978,7709400
